Molecule,Hardness(lumo-homo)
EN300-05982_26_C_SP2,4.2934
EN300-06526_8_C_SP2,5.0408
EN300-07634_2_C_SP2,4.2081
EN300-1001293_4_C_SP2,5.607
EN300-105387_2_C_SP2,5.4384
EN300-106141_2_C_SP2,6.3864
EN300-110297_9_C_SP2,4.7957
EN300-11486_21_C_SP2,5.11
EN300-122001_10_C_SP2,4.8298
EN300-123495_3_C_SP2,6.1556
EN300-12598_21_C_SP2,5.3947
EN300-1264578_6_C_SP2,4.883
EN300-126703_18_C_SP2,5.6658
EN300-1273099_2_C_SP2,4.5063
EN300-13211_4_C_SP2,4.9641
EN300-1428693_2_C_SP2,4.9242
EN300-151126_11_C_SP2,4.498
EN300-157453_15_C_SP2,4.4585
EN300-1587652_8_C_SP2,6.4678
EN300-1709227_20_C_SP2,6.3333
EN300-1722891_14_C_SP2,6.3707
EN300-1788836_11_C_SP2,4.9336
EN300-181934_2_C_SP2,5.2913
EN300-183205_7_C_SP2,7.0376
EN300-185652_5_C_SP2,5.0681
EN300-18570536_16_C_SP2,5.1476
EN300-186646_14_C_SP2,6.9481
EN300-195058_2_C_SP2,5.2381
EN300-21684076_2_C_SP2,7.1436
EN300-22733_15_C_SP2,4.6407
EN300-227611_2_C_SP2,6.4784
EN300-230639_2_C_SP2,4.5037
EN300-230647_2_C_SP2,3.7691
EN300-231814_8_C_SP2,4.5585
EN300-231925_12_C_SP2,4.4493
EN300-232720_10_C_SP2,6.3427
EN300-238084_10_C_SP2,5.8589
EN300-248851_2_C_SP2,5.1697
EN300-25923_13_C_SP2,5.4949
EN300-264740_6_C_SP2,6.0637
EN300-26621749_2_C_SP2,5.0395
EN300-267020_2_C_SP2,6.1515
EN300-267151_3_C_SP2,6.0108
EN300-27081753_13_C_SP2,5.9517
EN300-27127274_14_C_SP2,6.1527
EN300-2963197_4_C_SP2,7.2274
EN300-302806_19_C_SP2,4.7343
EN300-304355_2_C_SP2,4.389
EN300-316857_2_C_SP2,4.9542
EN300-3414681_18_C_SP2,5.9549
EN300-3451857_2_C_SP2,6.1935
EN300-36969789_15_C_SP2,6.6883
EN300-37152216_16_C_SP2,-5.6461
EN300-37364462_19_C_SP2,6.8916
EN300-374139_11_C_SP2,4.958
EN300-386220_12_C_SP2,4.3304
EN300-39139_15_C_SP2,6.5521
EN300-39773_15_C_SP2,5.4162
EN300-44090_14_C_SP2,6.1088
EN300-49976_14_C_SP2,4.426
EN300-53096_2_C_SP2,3.8824
EN300-53286_2_C_SP2,4.9272
EN300-53587_2_C_SP2,6.0388
EN300-5507970_12_C_SP2,5.3893
EN300-62278_2_C_SP2,3.7549
EN300-629709_2_C_SP2,4.4088
EN300-6472911_17_C_SP2,5.2
EN300-6498224_15_C_SP2,6.6447
EN300-650195_26_C_SP2,4.9389
EN300-650838_23_C_SP2,4.899
EN300-6509366_11_C_SP2,5.7688
EN300-658865_8_C_SP2,6.0356
EN300-6733491_24_C_SP2,1.7901
EN300-6737833_2_C_SP2,4.9247
EN300-6996497_15_C_SP2,6.9027
EN300-7431389_2_C_SP2,4.3375
EN300-7433032_2_C_SP2,6.1211
EN300-7439376_8_C_SP2,6.1249
EN300-7440409_21_C_SP2,6.4425
EN300-7461648_2_C_SP2,5.0264
EN300-74753_2_C_SP2,6.2593
EN300-7501584_2_C_SP2,6.8436
EN300-7535074_2_C_SP2,4.6468
EN300-7536448_30_C_SP2,4.7491
EN300-754709_10_C_SP2,6.9995
EN300-7563383_2_C_SP2,4.1586
EN300-75668_2_C_SP2,5.8197
EN300-77396_8_C_SP2,5.1361
EN300-78121_9_C_SP2,6.6691
EN300-81333_24_C_SP2,4.9738
EN300-83529_2_C_SP2,5.0948
EN300-86538_2_C_SP2,5.737
EN300-8668091_8_C_SP2,5.2435
EN300-92028_7_C_SP2,4.8298
EN300-92718_16_C_SP2,5.5045
EN300-93959_2_C_SP2,5.2943
EN300-94278_3_C_SP2,7.5175
EN300-96228_2_C_SP2,5.5088
EN300-96453_14_C_SP2,7.176
EN300-97525_12_C_SP2,6.2714
