Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
SM25,11.921976253464349,-3.7634370800789436,11.921976253464349,0.0907973251028813,0.9167663275988482,289.356,274.236,289.07726434,104,0,0.263541432020796,-0.2740351661841446,0.2740351661841446,0.263541432020796,0.9,1.45,2.05,32.23327133772806,10.112713249902216,2.1609109514039355,-2.063676572291434,2.0789920288275994,-2.301844268059454,7.896670473147636,-0.11882264413398642,1.9482514264133506,666.7795183216681,14.424438962994,10.820709416124808,11.637205997052535,9.577316827624756,6.224179755261593,7.707343002855986,4.327326284757882,6.0097285261673985,2.785268074342514,4.174435681087062,1.7620141446578252,2.7970951357025085,-2.1399999999999997,34970.115686168814,14.272932710635605,6.341717547457934,3.9279069863426064,118.05548384481772,0.0,0.0,0.0,5.907179729351506,10.023291153407584,0.0,4.794537184071822,13.139891848781026,0.0,0.0,48.53093654769288,24.117007251546223,6.4208216229260096,4.895483475517775,13.212334168400758,15.930470882759089,0.0,4.722094864452088,0.0,17.737126721369794,0.0,66.2271221763131,0.0,0.0,4.722094864452088,0.0,0.0,0.0,14.324976713680442,21.238649960405414,0.0,11.984273114623004,65.55915416013387,0.0,0.0,0.0,63.24,15.930470882759089,13.212334168400758,0.0,11.316305098443785,6.4208216229260096,5.563451491696996,12.13273413692322,18.19910120538483,30.33183534230805,4.722094864452088,0.0,25.92004354056437,0.0,11.805835590409005,0.0,0.9997769169396156,-0.5021239606953884,17.31067888112035,0.6458927784076595,0.0,-3.7634370800789436,0.13333333333333333,20,1,4,0,0,0,2,0,2,3,1,5,5,0,0,0,2,2.1243,76.53350000000005
SM26,11.28234552154195,-3.478567176870748,11.28234552154195,0.07282407407407421,0.8229774385927994,227.285,214.18099999999995,227.061614276,82,0,0.23468962654403197,-0.27438448128450926,0.27438448128450926,0.23468962654403197,1.2666666666666666,1.8666666666666667,2.4,32.23322716721205,10.168131359848818,2.1065406214706743,-2.036512603014979,2.0060844042657098,-2.305979995051193,7.895388169146222,-0.1167644366743846,2.5400167879318283,425.2405398575777,11.311554787871634,8.43395807017668,9.250454651104404,6.994800481421252,4.544493751508243,6.196758977828397,3.21271887145285,5.054587059355777,1.8015214648355693,3.1415648011621022,1.1669093643928794,2.2113736174939227,-1.3599999999999999,1785.9624312791175,11.713313782991202,4.929027243087918,4.598679768203579,89.3633317531503,0.0,0.0,0.0,15.930470882759089,0.0,0.0,9.51663204852391,8.417796984328938,0.0,0.0,30.33183534230805,11.984273114623004,6.923737199690624,5.752853606746789,13.212334168400758,15.930470882759089,0.0,4.722094864452088,0.0,13.344558822616634,5.752853606746789,35.89528683400505,0.0,0.0,4.722094864452088,0.0,0.0,0.0,20.077830320427232,21.238649960405414,0.0,12.487188691387619,30.33183534230805,0.0,0.0,0.0,63.24,15.930470882759089,13.212334168400758,0.0,5.752853606746789,6.4208216229260096,5.563451491696996,6.923737199690624,0.0,35.053930206760135,0.0,0.0,24.48735615079365,0.0,10.580425327538423,0.0,0.9365065192743767,-0.6255447425883929,9.262998052616108,0.4062037037037036,1.18062216553288,-3.478567176870748,0.3,15,1,4,0,0,0,1,0,1,3,1,5,4,0,0,0,1,0.6949999999999998,57.74950000000003
SM27,11.84560941043084,-3.2283125472411185,11.84560941043084,0.11766203703703693,0.8515626555479252,255.33899999999997,238.20299999999995,255.092914404,94,0,0.21207937643722571,-0.3773807449991258,0.3773807449991258,0.21207937643722571,1.2941176470588236,1.9411764705882353,2.4705882352941178,32.233228272193934,10.034530446501384,2.3641416052958037,-2.3773621432569887,2.1660394148710522,-2.597249165990796,7.890369207279762,-0.05227446295159958,1.8949429764806853,465.78392534517104,12.355524862241653,9.848171632549773,10.6646682134775,7.992511824357958,5.624826656652486,7.277091882972639,4.709992105211518,6.551860293114445,2.7454533578223907,4.290838495410405,1.7905129493479164,3.265687791431311,-0.9100000000000001,5131.73693031914,12.544414569752737,4.758936428300128,3.5233072932315763,102.03940795787742,4.736862953800049,0.0,0.0,10.023291153407584,0.0,0.0,0.0,13.139891848781026,0.0,0.0,30.33183534230805,18.90801031431363,0.0,24.50554278815597,13.154659938128987,10.023291153407584,0.0,4.722094864452088,0.0,18.883484074999977,18.966617535772624,35.89528683400505,0.0,0.0,4.722094864452088,0.0,0.0,0.0,32.92333977248491,21.180975730133643,0.0,12.487188691387619,30.33183534230805,0.0,0.0,0.0,55.400000000000006,15.56221640579093,8.417796984328938,0.0,5.752853606746789,19.634585551951847,5.563451491696996,0.0,0.0,37.255572541998674,4.722094864452088,4.736862953800049,31.39736315302062,0.0,0.0,0.0,0.6278599773242628,0.11766203703703693,9.614384138488575,0.5348318216175358,2.7695447530864197,-3.2283125472411185,0.5,17,1,4,0,1,1,1,0,1,3,1,5,5,0,1,1,2,0.9373999999999998,66.29250000000003
SM28,11.343947625346434,-2.9538074504493155,11.343947625346434,0.06191822562358262,0.8821391502085474,267.35,250.21399999999997,267.092914404,98,0,0.21686208221519282,-0.3488414149527299,0.3488414149527299,0.21686208221519282,1.2777777777777777,1.8888888888888888,2.388888888888889,32.22807222786607,9.936613451233448,2.4803281153764245,-2.412686957303498,2.2828251601213285,-2.6481609586788903,7.9258999009517765,-0.12015667341201952,2.0147205949698583,524.6146011340021,13.22576835024473,10.348171632549773,11.1646682134775,8.409014043794347,5.939704912650947,7.761072117696863,4.979360045753052,7.043850410476557,3.16866152990723,5.153486056684667,2.4803622458609507,4.512667299874027,-1.36,7601.965409112473,13.080660013060404,4.723353623894165,3.1003692351401706,107.31694943218237,5.316788604006331,0.0,9.837253136417502,5.907179729351506,0.0,0.0,4.794537184071822,8.417796984328938,0.0,0.0,30.33183534230805,18.405094737549014,6.923737199690624,17.044632465876923,13.212334168400758,15.744432865769006,0.0,5.316788604006331,0.0,25.304305697925987,11.505707213493578,35.89528683400505,0.0,0.0,5.316788604006331,0.0,0.0,0.0,31.36960917955737,21.052611943415332,0.0,18.90801031431363,30.33183534230805,0.0,0.0,0.0,63.24,15.376178388800847,13.212334168400758,0.0,17.412886942845084,6.4208216229260096,11.984273114623004,6.923737199690624,0.0,30.33183534230805,5.316788604006331,0.0,22.68789525069287,0.0,11.168573475686571,2.8005123299319727,0.6037679516250944,-0.04471755060048688,9.875008608381624,1.4369675925925924,1.425799792139078,-2.9538074504493155,0.46153846153846156,18,1,4,0,1,1,1,0,1,3,1,5,4,0,1,1,2,0.9224999999999999,69.96450000000004
SM29,11.284314216427312,-3.1770250430419087,11.284314216427312,0.3993801965230537,0.8515626555479252,255.339,238.20299999999997,255.092914404,94,0,0.20886571105539328,-0.3773576630705759,0.3773576630705759,0.20886571105539328,1.2941176470588236,1.9411764705882353,2.411764705882353,32.233101972570466,9.90560724094667,2.399197211889259,-2.41072807818746,2.2369343969650033,-2.6152023613615363,7.8832471771824215,-0.06615925393268761,1.9647905731559887,465.78392534517104,12.355524862241653,9.848171632549773,10.664668213477501,7.992511824357958,5.59795320311481,7.4893647411730635,4.63295552496202,6.381410724145768,2.8936649471541847,3.6974684609450024,2.024330427912753,3.030809723211972,-0.9100000000000001,4870.960645939304,12.544414569752737,4.758936428300128,3.5233072932315763,102.03940795787742,4.736862953800049,0.0,0.0,10.023291153407584,0.0,0.0,0.0,13.139891848781026,0.0,0.0,30.33183534230805,18.405094737549014,0.0,25.008458364920585,13.154659938128987,10.023291153407584,0.0,4.722094864452088,0.0,18.380568498235363,19.469533112537242,35.89528683400505,0.0,0.0,4.722094864452088,0.0,0.0,0.0,33.42625534924952,21.180975730133643,0.0,11.984273114623004,30.33183534230805,0.0,0.0,0.0,55.400000000000006,15.56221640579093,8.417796984328938,0.0,0.0,13.213763929025836,12.841643245852019,11.819220675208399,0.0,30.33183534230805,4.722094864452088,4.736862953800049,30.400781919249184,0.0,0.0,0.0,0.817356859410431,0.0,10.04996005500966,2.8118953136810276,0.930364229024943,-3.1770250430419087,0.5,17,1,4,0,1,1,1,0,1,3,1,5,5,0,1,1,2,0.9373999999999998,66.29250000000003
SM30,12.485240142353238,-3.513182450449316,12.485240142353238,0.29257973251028835,0.8897080889017035,317.41,298.25800000000004,317.108564468,116,0,0.2407307678138762,-0.37735721180426873,0.37735721180426873,0.2407307678138762,0.9545454545454546,1.5454545454545454,2.090909090909091,32.23327244404927,9.905592707161514,2.414053636384204,-2.414356734192975,2.257031647263948,-2.6168059260787735,7.891636368647548,-0.06624829410521547,1.711102663998597,710.0839744596864,15.468409037364017,12.234922978497904,13.05141955942563,10.597683539880496,7.304512660405836,8.787675908000228,5.677279315264529,7.359681556674045,3.8961402959437623,5.490649703949795,2.5746505382132425,3.9979144387379626,-1.6899999999999995,96364.33803145058,15.215118194159517,6.201332908211529,3.3764232623858237,130.73156004954484,4.736862953800049,0.0,0.0,10.023291153407584,0.0,0.0,0.0,13.139891848781026,0.0,0.0,48.53093654769288,30.537828874472233,0.0,23.648172656926956,13.154659938128987,10.023291153407584,0.0,4.722094864452088,0.0,23.276051973753138,13.213763929025836,66.2271221763131,0.0,0.0,4.722094864452088,0.0,0.0,0.0,27.17048616573812,21.180975730133643,0.0,11.984273114623004,65.55915416013387,0.0,0.0,0.0,55.400000000000006,15.56221640579093,8.417796984328938,0.0,0.0,18.10924740454361,12.841643245852019,5.563451491696996,30.33183534230805,18.19910120538483,16.854829001375307,4.736862953800049,33.091936964600656,0.0,0.29257973251028835,0.0,0.7060396720416564,0.0,18.531375215209543,1.5462168524817332,0.8450340136054426,-3.513182450449316,0.29411764705882354,22,1,4,0,1,1,2,0,2,3,1,5,6,0,1,1,3,2.3667000000000007,85.07650000000005
SM31,11.909314216427312,-3.4177657837826483,11.909314216427312,0.4374043367346938,0.8397865529706785,284.38100000000003,264.22099999999995,284.1194635,106,0,0.2791051981262903,-0.3773558646325509,0.3773558646325509,0.2791051981262903,1.263157894736842,1.894736842105263,2.3684210526315788,32.238775067223955,9.905612472487787,2.415896030237773,-2.418945751214143,2.2433727158876784,-2.6334345557180727,7.866827653942845,-0.06676823948056726,1.996279463911063,509.9496838597602,13.93287513143128,11.295385228049733,12.111881808977458,8.935887497332022,6.266706289485917,7.706769618286557,5.1482183049843355,7.032771873212805,3.3179630038320105,4.9703626309784825,1.9959357535393567,2.9456257000917825,-0.9500000000000001,13183.197324862276,14.458925262294967,5.58224284366153,3.535529420650416,114.2995612531059,4.736862953800049,0.0,0.0,0.0,10.209329170397666,0.0,0.0,0.0,17.44510784007726,0.0,30.33183534230805,18.405094737549014,14.09534396535438,18.75268918140918,13.154659938128987,10.209329170397666,0.0,9.027310855748322,0.0,18.380568498235363,27.309107894380215,35.89528683400505,0.0,0.0,4.722094864452088,0.0,0.0,0.0,45.57104612238873,21.367013747123725,0.0,11.984273114623004,30.33183534230805,0.0,0.0,0.0,58.64,15.748254422781011,8.417796984328938,0.0,0.0,13.213763929025836,12.841643245852019,23.96401144834761,0.0,30.33183534230805,4.722094864452088,4.736862953800049,32.964573019022424,0.0,0.0,0.0,0.7469401927437644,0.0,10.04996005500966,1.57364276266062,0.8748086734693876,-0.3765913695725196,0.5384615384615384,19,1,5,0,1,1,1,0,1,3,1,6,6,0,1,1,2,0.7841999999999998,74.05550000000005
SM32,11.330610512723608,-3.1103583763752423,11.330610512723608,0.21419501133786856,0.8856033813686829,271.40700000000004,254.271,271.070070784,94,0,0.20875972945097407,-0.21270937530161219,0.21270937530161219,0.20875972945097407,1.2941176470588236,1.9411764705882353,2.411764705882353,32.23313938302324,9.95150430871354,2.390907238636373,-2.4091096611518856,2.335643355439518,-2.5740279072759065,8.006155427726856,0.4189557903970795,1.9647905731559887,466.5388128473345,12.355524862241653,9.848171632549773,11.481164794405228,7.992511824357958,5.59795320311481,8.644065279552313,4.63295552496202,7.3670092837992565,2.8936649471541847,5.210888466931407,2.024330427912753,4.369961673458731,-0.5200000000000001,4870.960645939304,12.924574773916186,4.999300390123445,3.7249228656966875,107.04897275373575,0.0,0.0,0.0,10.023291153407584,0.0,0.0,0.0,13.139891848781026,11.761884949391115,0.0,30.33183534230805,18.405094737549014,11.505707213493578,11.79469443589475,8.417796984328938,21.7851761027987,0.0,4.722094864452088,0.0,18.380568498235363,17.761476397004984,35.89528683400505,0.0,0.0,4.722094864452088,0.0,0.0,11.761884949391115,31.718198633717265,16.444112776333593,0.0,11.984273114623004,30.33183534230805,0.0,0.0,0.0,46.17,10.023291153407584,8.417796984328938,0.0,5.538925252383345,0.0,24.3473504593456,11.819220675208399,11.761884949391115,18.19910120538483,16.854829001375307,0.0,25.451941688712523,1.7928757768539514,0.0,0.0,1.0488383408919124,1.7636975623582765,10.190646730914587,3.0290249433106573,0.0,-3.1103583763752423,0.5,17,1,3,0,1,1,1,0,1,3,1,5,5,0,1,1,2,1.654,72.79850000000003
SM33,12.531536438649535,-3.446515783782649,12.531536438649535,0.31033446712018153,0.8835126328418631,333.47800000000007,314.3260000000001,333.085720848,116,0,0.24062468795675662,-0.2070827262172739,0.24062468795675662,0.2070827262172739,0.9545454545454546,1.5454545454545454,2.090909090909091,32.23330999919738,9.951488689094601,2.406034164899918,-2.412945487142573,2.3458160110627935,-2.5761895669408323,8.006322585434608,0.4173013708835587,1.711102663998597,710.83886196185,15.468409037364017,12.234922978497904,13.867916140353357,10.597683539880496,7.304512660405836,9.94237644637948,5.677279315264529,8.345280116327535,3.8961402959437623,7.004069709936197,2.5746505382132425,5.337066388984719,-1.2999999999999998,96364.33803145058,15.590178346173998,6.442492682060057,3.536708944817052,135.74112484540316,0.0,0.0,0.0,10.023291153407584,0.0,0.0,0.0,13.139891848781026,11.761884949391115,0.0,48.53093654769288,30.537828874472233,11.505707213493578,10.43440872790112,8.417796984328938,21.7851761027987,0.0,4.722094864452088,0.0,23.276051973753138,11.505707213493578,66.2271221763131,0.0,0.0,4.722094864452088,0.0,0.0,11.761884949391115,25.46242945020586,16.444112776333593,0.0,11.984273114623004,65.55915416013387,0.0,0.0,0.0,46.17,10.023291153407584,8.417796984328938,0.0,5.538925252383345,4.895483475517775,24.3473504593456,5.563451491696996,36.027353223237554,24.26546827384644,16.854829001375307,0.0,28.0072194664903,1.7880663685227176,0.33887602880658463,0.0,0.9375211535231378,1.6783673469387754,18.8127485670194,1.7170501858150664,0.0,-3.446515783782649,0.29411764705882354,22,1,3,0,1,1,2,0,2,3,1,5,6,0,1,1,3,3.0833000000000013,91.58250000000004
SM34,11.955610512723608,-3.351099117115982,11.955610512723608,0.2741950113378684,0.8660077965703414,300.449,280.289,300.09661988,106,0,0.2789986252204116,-0.19517333756740407,0.2789986252204116,0.19517333756740407,1.263157894736842,1.894736842105263,2.3684210526315788,32.23881002874315,9.95150929319554,2.407825687122872,-2.4177868613865985,2.3393050430140203,-2.5976400981371026,8.005953552027481,0.39865526214874936,1.996279463911063,510.7045713619237,13.93287513143128,11.295385228049733,12.928378389905184,8.935887497332022,6.266706289485917,8.861470156665806,5.1482183049843355,8.018370432866293,3.3179630038320105,6.483782636964884,1.9959357535393567,4.284777650338543,-0.56,13183.197324862276,14.840938203864589,5.827615944738202,3.717992719946889,119.30912604896423,0.0,0.0,0.0,0.0,10.209329170397666,0.0,0.0,0.0,29.206992789468373,0.0,30.33183534230805,18.405094737549014,25.601051178847957,5.538925252383345,8.417796984328938,21.971214119788783,0.0,9.027310855748322,0.0,18.380568498235363,25.601051178847957,35.89528683400505,0.0,0.0,4.722094864452088,0.0,0.0,11.761884949391115,43.86298940685648,16.630150793323676,0.0,11.984273114623004,30.33183534230805,0.0,0.0,0.0,49.410000000000004,10.209329170397666,8.417796984328938,0.0,5.538925252383345,0.0,24.3473504593456,9.86866748299323,25.857228914745495,18.19910120538483,16.854829001375307,0.0,28.000804594986143,1.786073055765516,0.0,0.0,0.9784216742252458,1.708142006802721,10.190646730914587,1.7444760959939531,0.0,-0.24189749202149935,0.5384615384615384,19,1,4,0,1,1,1,0,1,3,1,6,6,0,1,1,2,1.5008,80.56150000000005
